Species,number_rays,disk_diameter,ray_diameter,stem_length
F,13,1.5,5.5,16
F,13,1.5,5.5,19
F,11,1.1,3.5,9.3
F,12,1.4,3.2,4
F,11,2,3.7,2.5
F,8,1.1,3.5,2.8
F,13,1.3,4.5,15.5
F,13,1.5,4.5,11.3
F,11,1.5,5,9
F,12,1.5,4.5,7.7
C,13,1.3,6.5,18.2
C,15,1.5,4.5,19.7
C,21,1.8,4.5,13.1
C,11,1,3.3,3
C,14,1.3,4.8,21.9
C,11,1.3,5.5,22
C,14,1,4.5,13
C,15,1.2,4.5,14.9
C,13,0.9,4.5,14.2
C,15,1.5,5.2,18
F,10,1.5,5,10
F,11,1.5,4.2,7.4
F,10,1.5,4,9.7
F,13,1.5,4.4,5.4
F,13,1,2.8,8.4
F,13,1.7,4.8,10.1
F,11,1.5,4.3,5
F,8,1.2,4.4,5.5
F,13,1.3,4,13.5
F,10,1.2,3.7,15.4
C,13,1.5,6.6,17.5
C,11,0.8,5,24
C,21,1.5,5.1,26.1
C,16,1.5,5.3,30.5
C,18,1.9,6,22
C,14,1.5,5.8,21.5
C,14,1.9,7.9,15.5
C,12,1.2,5.6,7.2
C,14,1.3,4.6,12.9
C,13,1.3,4.9,33
F,11,1.6,4.3,5.6
F,9,1.6,5,13
F,13,1.5,4.7,6.3
F,12,1.5,4.5,7.5
F,10,1.3,3.2,5.4
F,13,1.5,4.9,6.8
F,12,1.4,5,3.8
F,15,1.4,4.4,9.8
F,11,1.3,3.4,16.4
F,8,1.3,3.3,7.4
F,13,1.8,4.3,12.5
F,11,1.5,3,23
C,12,1.1,3.2,33
C,23,1.7,2.6,18.5
C,15,2,6,19.5
C,15,1.4,5.4,48
C,12,1.3,5.2,30.5
C,20,1.6,3.4,23.6
C,19,1.7,5.5,37
C,14,1.8,4,27.5
F,14,1.2,4.5,
F,16,0.9,3,
F,11,1,3.7,
F,17,1.1,2,
F,15,1.2,5.5,
F,12,0.7,2.4,
F,12,1.3,3.6,
F,10,0.8,1.6,
F,14,1.4,5,
F,10,1,2.5,
C,19,1.6,6.8,
C,20,1.7,5,
C,24,1.9,5.8,
C,14,1.5,3.4,
C,13,1.4,5.5,
C,23,2.3,4.9,
C,23,2.5,7,
C,13,1.4,3.4,
C,21,1.7,5.1,
C,22,1.4,3.9,
F,8,0.9,3.5,8.2
F,13,1,4.2,11.2
F,9,1.1,3.9,4.6
F,13,1.6,4.9,5.9
F,9,1.3,4.2,15.7
F,9,1.1,3.9,2.8
F,12,1.1,3.5,15.8
F,13,1.5,4.1,14.4
F,12,1.5,4,14.5
F,13,1.4,5.1,6
C,14,1.8,7,24
C,21,1.6,4.6,37.9
C,13,0.8,4.9,57.7
C,20,1.4,6.7,19.4
C,15,1.1,4.6,15.2
C,17,1.5,5.6,10.2
C,15,1.1,6,33
C,15,1.3,4.6,24.2
C,13,1.1,5.8,26.2
C,9,1.3,5.3,23.8
